-3804, -2144, 15516, 1345, 2904, -1409
-3788, -1636, 15824, 1325, 2898, -1424
-3512, -1812, 15480, 1331, 2904, -1421
-3736, -1956, 15868, 1325, 2907, -1427
-3344, -2596, 15820, 1335, 2926, -1421
-4580, -2784, 14920, 1332, 2922, -1424
-4004, -2744, 15408, 1333, 2921, -1432
-3040, -2404, 16380, 1326, 2926, -1435
-4300, -2052, 16616, 1311, 2942, -1438
-1760, -1428, 16064, 1292, 2949, -1445
-960, -1788, 15880, 1284, 2981, -1457
-1396, -1284, 16420, 1286, 3035, -1460
-360, -1316, 16136, 1294, 3066, -1473
-96, -1484, 15824, 1308, 3115, -1485
-512, -1544, 15940, 1328, 3140, -1488
-472, -924, 16488, 1377, 3178, -1496
-540, -472, 15880, 1430, 3208, -1521
-700, -680, 15800, 1467, 3219, -1529
-428, -784, 16312, 1516, 3199, -1526
-284, -864, 16116, 1549, 3177, -1528
-1120, -940, 16468, 1581, 3151, -1538
-792, -1312, 16068, 1604, 3113, -1530
-148, -1516, 16504, 1600, 3085, -1536
296, -1024, 16196, 1601, 3094, -1542
-784, -772, 16272, 1594, 3133, -1540
-1468, -828, 16136, 1559, 3155, -1551
-1856, -216, 16540, 1528, 3191, -1549
-1988, 32, 15968, 1474, 3212, -1543
-3424, 712, 15480, 1433, 3208, -1540
-5016, 128, 15320, 1439, 3198, -1522
-6456, 732, 14784, 1464, 3194, -1519
-8176, 704, 13744, 1485, 3194, -1523
-9060, 1048, 13428, 1509, 3194, -1523
-9412, 1096, 11836, 1516, 3191, -1514
-11300, 2184, 11068, 1510, 3198, -1517
-11880, 3064, 10684, 1530, 3211, -1533
-12636, 3492, 9824, 1550, 3229, -1555
-13672, 4084, 8260, 1590, 3245, -1577
-13456, 4316, 6516, 1626, 3256, -1608
-13848, 5692, 4920, 1637, 3277, -1630
-15004, 7760, 4432, 1596, 3263, -1608
-12768, 8368, 4948, 1567, 3261, -1599
-12448, 9404, 4824, 1523, 3269, -1579
-9768, 11428, 5272, 1480, 3277, -1591
-7980, 13204, 5596, 1426, 3269, -1588
-6248, 13852, 5696, 1401, 3229, -1573
-3940, 14108, 7436, 1368, 3195, -1531
-2740, 13356, 9124, 1343, 3143, -1505
-772, 11704, 11380, 1328, 3091, -1481
-636, 10644, 12200, 1349, 3063, -1459
1020, 9908, 13112, 1339, 3037, -1450
-24, 8312, 14468, 1359, 2987, -1439
256, 6260, 13996, 1347, 2962, -1428
-564, 5900, 15056, 1354, 2953, -1432
-1132, 6352, 14844, 1370, 2932, -1427
-1924, 5852, 15708, 1394, 2946, -1431
-2152, 5616, 15308, 1387, 2961, -1445
-3308, 6696, 14900, 1389, 2956, -1434
-1872, 5892, 14872, 1382, 2949, -1452
-1504, 5632, 14656, 1391, 2954, -1452
-1304, 5120, 15428, 1390, 2935, -1463
-1868, 4436, 16356, 1392, 2933, -1458
-1812, 3712, 15164, 1397, 2918, -1467
-2332, 860, 14272, 1423, 2884, -1477
-2520, 2132, 15488, 1423, 2889, -1474
-2396, 2300, 15676, 1430, 2887, -1463
-1932, 1520, 16180, 1396, 2866, -1464
608, 404, 17272, 1365, 2837, -1459
-6248, 13852, 5696, 1401, 3229, -1573
-3940, 14108, 7436, 1368, 3195, -1531
-2740, 13356, 9124, 1343, 3143, -1505
-772, 11704, 11380, 1328, 3091, -1481
-636, 10644, 12200, 1349, 3063, -1459
1020, 9908, 13112, 1339, 3037, -1450
-24, 8312, 14468, 1359, 2987, -1439
256, 6260, 13996, 1347, 2962, -1428
-564, 5900, 15056, 1354, 2953, -1432
-1132, 6352, 14844, 1370, 2932, -1427
-1924, 5852, 15708, 1394, 2946, -1431
-2152, 5616, 15308, 1387, 2961, -1445
-3308, 6696, 14900, 1389, 2956, -1434
-1872, 5892, 14872, 1382, 2949, -1452
-1504, 5632, 14656, 1391, 2954, -1452
-1304, 5120, 15428, 1390, 2935, -1463
-1868, 4436, 16356, 1392, 2933, -1458
-1812, 3712, 15164, 1397, 2918, -1467
-2332, 860, 14272, 1423, 2884, -1477
-2520, 2132, 15488, 1423, 2889, -1474
-2396, 2300, 15676, 1430, 2887, -1463
-1932, 1520, 16180, 1396, 2866, -1464
608, 404, 17272, 1365, 2837, -1459
2444, -2524, 14264, 1349, 2810, -1480
3976, -2748, 15868, 1337, 2776, -1506
6004, -4152, 13736, 1303, 2766, -1536
8240, -3868, 13420, 1297, 2767, -1554
9336, -4188, 12976, 1288, 2777, -1567
9780, -4056, 12112, 1280, 2771, -1580
9868, -3904, 11900, 1274, 2794, -1579
10500, -4336, 11364, 1276, 2775, -1595
12932, -3972, 11096, 1268, 2781, -1615
12880, -3788, 8540, 1256, 2786, -1627
13808, -3712, 8108, 1245, 2797, -1640
14472, -2976, 5340, 1243, 2814, -1663
15828, -1760, 4156, 1235, 2817, -1687
16840, -204, 4336, 1214, 2850, -1686
15588, 1504, 4684, 1194, 2886, -1671
14224, 2732, 7696, 1179, 2923, -1639
12476, 4440, 9704, 1200, 2928, -1598
10888, 5404, 11184, 1213, 2949, -1552
8176, 6612, 13404, 1240, 2967, -1516
4048, 6684, 14488, 1267, 2979, -1488
